--- INIT Consulta 1

Nationality                                 	01-2022	02-2022	03-2022	04-2022	05-2022	06-2022	07-2022	08-2022	09-2022	10-2022	11-2022	12-2022
Afghanistan                                 	29     	28     	33     	32     	25     	37     	31     	28     	22     	29     	31     	26     
Aland Islands                               	3      	1      	4      	3      	1      	1      	2      	0      	1      	2      	0      	0      
Albania                                     	36     	23     	34     	30     	37     	36     	32     	30     	30     	28     	24     	33     
Algeria                                     	2      	0      	0      	0      	1      	0      	0      	0      	0      	0      	0      	0      
American Samoa                              	0      	1      	3      	2      	3      	6      	1      	2      	0      	4      	1      	0      
Andorra                                     	1      	1      	0      	0      	1      	0      	1      	1      	1      	0      	3      	0      
Angola                                      	8      	4      	3      	5      	3      	10     	8      	7      	7      	7      	4      	6      
Anguilla                                    	0      	0      	0      	0      	0      	1      	1      	0      	1      	1      	0      	0      
Antigua and Barbuda                         	1      	0      	0      	0      	2      	1      	2      	1      	1      	0      	2      	1      
Argentina                                   	76     	70     	98     	101    	89     	88     	114    	80     	100    	105    	102    	106    
Armenia                                     	29     	32     	34     	34     	26     	24     	31     	33     	18     	40     	32     	27     
Aruba                                       	0      	0      	0      	0      	0      	0      	0      	0      	0      	1      	2      	0      
Australia                                   	4      	5      	6      	5      	3      	6      	6      	8      	7      	4      	6      	8      
Austria                                     	3      	1      	3      	0      	2      	2      	2      	4      	2      	0      	4      	5      
Azerbaijan                                  	22     	16     	16     	16     	22     	14     	13     	21     	19     	23     	22     	16     
Bahamas                                     	6      	0      	1      	2      	2      	0      	5      	3      	1      	1      	4      	3      
Bahrain                                     	0      	1      	3      	1      	1      	1      	1      	4      	4      	2      	1      	1      
Bangladesh                                  	23     	24     	20     	22     	14     	15     	11     	18     	14     	19     	23     	22     
Barbados                                    	1      	0      	0      	0      	1      	1      	0      	1      	2      	0      	1      	1      
Belarus                                     	29     	19     	21     	25     	29     	23     	23     	15     	22     	19     	34     	32     
Belgium                                     	3      	0      	0      	1      	0      	1      	2      	2      	1      	1      	3      	4      
Belize                                      	4      	2      	1      	1      	0      	1      	0      	1      	1      	2      	3      	0      
Benin                                       	8      	2      	3      	2      	4      	8      	6      	8      	3      	5      	7      	2      
